012 Leinster Chess Union Div 1 Armstrong Cup 2010 - 2011
022
032 IRL
042 10.09.13
052 11.03.13
062 160
072
082 12
092 Team League
102 Peter Scott
112
122 120
132                                                                                        10.09.13  10.09.25  10.10.16  10.11.06  10.11.17  10.12.11  11.01.08  11.01.22  11.02.05  11.02.19  11.03.13  

013 Bray / Greystones                 47   48   49   50   51   52   53   54   55   56   57 
013 Dublin                            26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46 
013 Dublin University                 58   59   60   61   62   63   64   65   66   67   68   69   70   71   72 
013 Dun Laoghaire                     96   97   98   99  100  101  102  103  104  105  106  107  108 
013 Elm Mount                         85   86   87   88   89   90   91   92   93   94   95 
013 Gonzaga                           73   74   75   76   77   78   79   80   81   82   83   84 
013 Kilkenny                         109  110  111  112  113  114  115  116  117  118  119 
013 Malahide                         120  121  122  123  124  125  126  127  128  129  130  131  132  133 
013 Phibsboro                        134  135  136  137  138  139  140  141  142  143  144  145  146  147 
013 Rathmines A                       14   15   16   17   18   19   20   21   22   23   24   25 
013 Rathmines B                        1    2    3    4    5    6    7    8    9   10   11   12   13 
013 St Benildus                      148  149  150  151  152  153  154  155  156  157  158  159  160 

DDD SSSS sTTT NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN RRRR FFF IIIIIIIIIII BBBB/BB/BB PPPP RRRR  1111 1 1  2222 2 2  3333 3 3  4444 4 4  5555 5 5  6666 6 6  7777 7 7  8888 8 8  9999 9 9  0000 0 0  1111 1 1  
012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

001    1      Aherne, John P.                   1759               9             3.5         18 b 0    40 w 1              60 w 1    81 w =    90 w =   101 b =   117 w 0   126 b 0   135 w 0   157 b 0  
001    2      Bermingham, Tony                  1772              60             4.5         23 w 0    46 b 0    50 w =    69 b 1    79 w 0    93 b =    97 w =   111 b 0   123 w 0   141 b 1   155 w 1  
001    3      Burke, James                      1699            1819             2.0                   26 b 1                        74 b 0                                           147 w 1   150 b 0  
001    4      Burns, John                       1736             137             5.5         17 w 1    30 b =    47 w 0    59 b 0    76 w 0    86 b 1   107 w 1   115 b 0   129 w =   136 b 1   154 w =  
001    5      Cosgrove, Pat                     1478            3947             0.0                             51 w 0              80 b 0                                                              
001    6      Goggins, David                    1751             497             4.5         25 b 0    42 w 0    57 b 1    61 w =    82 b 0    91 w =   102 b =   114 w =   132 b =   138 w =   152 b =  
001    7      Goralski, Lukasz                  1782           10298             0.0                                                                                        133 b 0                      
001    8      Janusaitis, Mindaugas             1846           12148             3.5         14 b 0                        67 b 0              92 b 0    99 w 1   116 b 0   120 w =   143 b 1   149 w 1  
001    9      Kalam, Abul                       1827           16042             4.5         15 w 0    32 w =    53 b 0    68 w 1    78 b 1    89 w 1   105 b =   118 w 0   121 b =   144 w 0   156 b 0  
001   10      Lynch, Peter J.                   1563             813             0.5                             52 b 0                                 103 b =                                          
001   11      McEvoy, Pat                       1539           10307             0.5                             54 b =                                                                                  
001   12      Moore, Kenneth                    1604           16385             2.0         16 b =    28 w 1              63 w 0              85 w 0             110 w =                                
001   13      Skrzypnik, Tomasz                 2048           12360             2.0         24 w 0    43 b =    49 w 0    58 b 0    75 w 0    88 b 0   100 w =   113 b 0   122 w 1   134 b 0   158 w 0  
001   14      Cafolla, Peter                    2032             159             4.5          8 w 1    49 w 0    78 w =   105 b 1   120 w 1   149 w 1                        92 b 0   113 b 0            
001   15      Delaney, Killian                  2016            5104             9.5          9 b 1    50 w =    83 b 1    99 w 1   126 b 1   148 b 1    46 w =    68 b 1    90 w 1   118 w =   144 w 1  
001   16      Fagan, Leon                       1818             406             8.0         12 w =    54 w 1    76 b 1    96 w 1   123 b =   152 w =    29 w 1    72 b 1    93 b 0   115 w =   145 b 1  
001   17      Kennedy, Michael J.               1821            3955             4.0          4 b 0              80 w 1   101 b =   129 b =   154 b 0    41 b 1    61 b 1                       143 b 0  
001   18      Killane, Jack                     1813             740             3.0          1 w 1    51 b =             103 b =                                  59 w 1                       146 b 0  
001   19      McCabe, Darren                    1889            5722             3.5                   57 b =    82 w 1                                  30 b 0              86 b 1   116 b 1   135 w 0  
001   20      Moloney, Ian                      1768            2346             0.0                                                132 w 0              27 w 0                       114 b 0   141 w 0  
001   21      O'Cinneide, Mel                   2182             720             1.0                                                          158 w =                        88 b =                      
001   22      O'Connell, David                  1492            3647             0.0                                                                               70 b 0                                
001   23      O'Donoghue, D.J.                  1867            5028             5.0          2 b 1    47 w 0    81 b =    97 w 1   121 w 0   157 w =    35 w 1    67 w 0    91 w 1   111 w 0            
001   24      Osborne, Sam C.                   2071            6252             6.0         13 b 1    53 b =    75 b 0   100 w =   122 b =   156 b 1    43 b =    62 w =    89 w 1   109 w 0   134 b =  
001   25      Scannell, Tony                    1822            1533             6.0          6 w 1    52 b =    73 w 0   102 b =   128 w 1   155 b 0    32 b =    69 w 1    85 w =   117 b 1   139 w 0  
001   26      Baher, Hussain                    1543           12364             0.0                    3 w 0    72 b 0                                                                                  
001   27      Baranouski, Vitali                1434           12260             2.5        150 b =              59 b 1                                  20 b 1                                          
001   28      Brady, Frank                      1499            1705             0.5                   12 b 0    61 w =                                                                                  
001   29      Clements, Shannon L.              1667            4819             1.0                                                                     16 b 0              74 b 0   103 w 1            
001   30      Collins, Mark A.                  1877            4977             3.5                    4 w =    60 b 0    86 b 1   115 w 1   146 b 0    19 w 1              83 w 0    99 b 0            
001   31      Dempsey, Denis                    1256             322             0.0                                                                                                            132 b 0  
001   32      Egan, Colm                        1713             393             4.0        152 b =     9 b =    65 w 1             114 b 0              25 w =    54 b 1    79 w =   102 b 0            
001   33      Fagan, Michael                    1297             407             0.0        160 w 0                                                                                                      
001   34      Guinness, Paul                    1311             525             0.0                                                          137 w 0                                                    
001   35      John, Tom                         1784           12670             5.0                                       87 w 1   111 b 0   139 w 1    23 b 0    47 w 1    81 b =   107 w =   123 w 1  
001   36      Keating, Michael D.               1548            2216             0.5        155 w =                                          0000 - -              51 w 0                                
001   37      Kennedy, John P. A.               2030            3666             2.0                                       92 w 1                                  56 b 0                       120 w 1  
001   38      Loughrey, Pat                     1337             796             0.0                                                                                         73 w 0                      
001   39      Mendelson, Andrew                 2091            8671             3.0                                       89 w 1   113 w 0   144 w 1              53 w 0             105 b 1            
001   40      Mishkovski, Lyubomir              2031           12363             1.0        149 w 0     1 b 0              90 b 1   116 w 0                                                              
001   41      Nolan, Ronan                      1617            1183             0.0                                                                     17 w 0                                          
001   42      O'Connor, Eddie                   1885            1239             5.5        157 w =     6 b 1    67 w 1    91 w =   119 b =   141 w 1            0000 - -              97 w 1   126 b 0  
001   43      O'Connor, Jonathan                2111            1243             4.0        158 b =    13 w =    62 w =    88 b 0   118 b 0   134 b 0    24 w =    49 b =    75 w 0   100 b =   122 w 1  
001   44      O'Mullane, Ross                   1297            5745             0.0                                                                                         80 b 0                      
001   45      Ryan, Lorcan                       728            5803             0.0                                                                                                            129 w 0  
001   46      Schmidt, Martin                   2013            7244             7.0        148 b 1     2 w 1    68 b 1    95 b =   117 w =   143 b 0    15 b =    57 w 1    78 b 0   101 w 1   121 b =  
001   47      Bennett, Eric                     1864            2741             7.5        145 w 0    23 b 1     4 b 1    79 w 1   102 b 1   123 b 1   155 b 0    35 b 0    59 b 1    91 w =   117 w 1  
001   48      Cullen, Sean                      1564            4633             2.0                                                          130 b 1                      0000 - +                      
001   49      Daly, Colm                        2284             295             7.5        134 w 1    14 b 1    13 b 1    75 w =   100 b 1             158 b 1    43 w =    58 b =    88 w =   109 b =  
001   50      Duffy, Seamus                     1921             378             7.0        143 w 0    15 b =     2 b =    82 w 1    99 b =   120 b =   148 b 1  0000 - +    67 b =    95 w 1   116 w =  
001   51      Gaines, Brian                     1678             466             6.0        139 b 0    18 w =     5 b 1    80 b 0   103 w 1   125 w 1   150 w =    36 b 1    63 b 1    85 b 0   115 w 0  
001   52      Igaz, Peter                       1782           12384             4.0        146 b 0    25 w =    10 w 1    73 b 0             129 w 1   152 w 1              70 w =    93 b 0   111 b 0  
001   53      Joyce, John                       2150             658             7.5        144 b 1    24 w =     9 w 1    78 b =   105 w 0   126 w 1   149 w =    39 b 1    68 w 1    89 b 1   113 w 0  
001   54      O'Donnell, Conor E.               1738           10792             1.5        141 w 0    16 b 0    11 w =    76 w 0   107 b 0   133 b =   154 b 0    32 w 0              86 w =            
001   55      O'Rourke, Ray                     1885            1321             0.5                                                 96 w =                                                              
001   56      Quinn, Rory                       2040            1405             1.0                                                                               37 w 1                       118 b 0  
001   57      Reynolds, Pat                     1914            1430             4.5        135 b 0    19 w =     6 w 0    81 b 1   101 w 1   121 w 1   157 w =    46 b 0    69 w =    92 b 0   119 b 0  
001   58      Buckley, John                     2078             118             2.5                                       13 w 1                       144 w 1              49 w =             100 w 0  
001   59      Collins, Alan A.                  1460            5281             2.0        128 w 1              27 w 0     4 w 1    90 w 0             146 b 0    18 b 0    47 w 0    82 w 0            
001   60      Delaney, Rory                     1869            5160             3.5        121 w =   148 b 1    30 w 1     1 b 0    92 b =   111 w 0                                            97 w =  
001   61      Fitzmaurice, Karl                 1496            3781             2.5        129 b 0   150 w =    28 b =     6 b =             117 b 0   145 b 0    17 w 0              81 b 0   107 w 1  
001   62      Harding, Tim                      2048             541             4.5        122 b =   156 w 1    43 b =              88 w 0   113 b =   143 b =    24 b =              75 b 0   105 b 1  
001   63      Helm, Fabian                         0           12708             1.0                                       12 b 1    91 b 0                                  51 w 0                      
001   64      Lionello, Diego                      0           17444             0.0                                                                                                   80 w 0            
001   65      Lowry-O'Reilly, Hannah            1715            5426             0.0                             32 b 0                                                                                  
001   66      McHugh, Jack                      1395            6411             1.0                                                                    138 w 1                                          
001   67      Moran, Stephen                    1929            5388             5.0        126 b =   158 w =    42 b 0     8 w 1    95 w 0   116 b =   135 w =    23 b 1    50 w =    83 b 0   101 b =  
001   68      Normoyle, Liam                    1975            6143             2.0        120 w =   149 b 0    46 w 0     9 b 0    89 b =   118 w 0              15 w 0    53 b 0    78 w 0    99 w 1  
001   69      Reilly, Gerard                    1562            5886             1.5        123 b 0   157 w 0               2 w 0             115 w 0   139 w =    25 b 0    57 b =             103 b =  
001   70      Shanley, John                     1034            5752             2.5                                                                    147 b 1    22 w 1    52 b =                      
001   71      Vaughan, James                    1412            5228             1.5                  159 b 1                                 114 b =                                  73 b 0            
001   72      Zdziarski, Zbigniew               1500           12707             4.0        132 w 1   152 b =    26 w 1                       112 w 0              16 w 0              79 w 1   102 b =  
001   73      Byrne, Ray                        1881             152             8.0        119 b 0   145 b 1    25 b 1    52 w 1             102 b 0   129 w 1   154 w 1    38 b 1    71 w 1    93 w 1  
001   74      Casey, Eoghan                     1869            4174             3.0        115 w 1                                   3 w 1   107 w 0                        29 w 1                      
001   75      Collins, Sam E.                   2390            4564             9.0        118 w =   134 b =    24 w 1    49 b =    13 b 1   105 w 1   122 b 1   158 w 1    43 b 1    62 w 1    88 b =  
001   76      Fitzmaurice, Garth                1848            4171             3.0                  139 b 1    16 w 0    54 b 1     4 b 1                                                              
001   77      Flanagan, John                       0               0             0.5                                                                    127 w =                                          
001   78      Freeman, Gordon                   2102            4153             8.0        113 b 1   144 w =    14 b =    53 w =     9 w 0   100 b =   126 w 1   149 b 1    46 w 1    68 b 1    89 w 1  
001   79      Hayes, Peter J.                   1947            4540             3.5                                       47 b 0     2 b 1    97 w 1   123 b 0   155 w 1    32 b =    72 b 0            
001   80      Jackson, Carl                     1767            4618             7.0        111 b =   141 w 0    17 b 0    51 w 1     5 w 1   103 b =   133 b 1   153 b =    44 w 1    64 b 1    86 b =  
001   81      McGovern, Mark E.                 1939            5069             6.5        117 w 0   135 w 1    23 w =    57 w 0     1 b =    99 w 1             148 w 1    35 w =    61 w 1    90 w 1  
001   82      McMorrow, John                    1973            5320             5.0                  143 b =    19 b 0    50 b 0     6 w 1             121 w =   152 b 1              59 b 1    91 b 1  
001   83      Murray, David B.                  2025            4941             6.0        116 w 1   146 w =    15 w 0                       101 b =   120 b 1   157 b 0    30 b 1    67 w 1    92 b 1  
001   84      O'Brien, Cormac P.                1587           12044             1.0        114 b 0                                                                                              85 w 1  
001   85      Bajcar, Tomas                     1751           10081             2.5                                                           12 b 1                        25 b =    51 w 1    84 b 0  
001   86      Boyle, Bernard                    1867            3172             5.0        102 b =   129 w 0   153 b 1    30 w 0  0000 - +     4 w 0   115 w 1   146 b =    19 w 0    54 b =    80 w =  
001   87      Dunne, Oliver                     1806             382             0.0                                       35 b 0                                                                        
001   88      Fitzsimons, David                 2237            6236             6.5        100 b =   122 w 1   156 b =    43 w 1    62 b 1    13 w 1   113 w 0   134 b 0    21 w =    49 b =    75 w =  
001   89      Jakubauskas, Zygimantas           2092            9277             4.0        108 w =   126 b 1   158 w 1    39 b 0    68 w =     9 b 0   118 b 0   144 w 1    24 b 0    53 w 0    78 b 0  
001   90      MacElligott, Gerard               1936            1078             4.5         99 w 1   123 w 1   155 b 0    40 w 0    59 b 1     1 b =   117 w 0   135 w 1    15 b 0              81 b 0  
001   91      Porter, Liam                      1888            1383             5.0        101 w =   132 b =   152 w =    42 b =    63 w 1     6 b =   111 b 0   141 w 1    23 b 0    47 b =    82 w 0  
001   92      Quinn, Ciaran                     2029            1398             7.5         97 b 1   121 b =   157 w =    37 b 0    60 w =     8 w 1   119 b 1   143 b 1    14 w 1    57 w 1    83 w 0  
001   93      Rahneberg, Matthias               1807           17301             8.0         96 w 1   125 b 1   160 w 1            0000 - +     2 w =   114 b =   145 b 1    16 w 1    52 w 1    73 b 0  
001   94      Scott, Peter                      1445            1536             0.0                                                                              137 w 0                                
001   95      Spirek, Adam                      2093           16517             4.5        105 b 1   120 w 1   148 b 1    46 w =    67 b 1             116 w 0                        50 b 0            
001   96      Butler, Eddie                     1796            4822             1.5         93 b 0   111 w =   142 w =    16 b 0    55 b =                                                              
001   97      Cassidy, Paul                     1826             194             1.5         92 w 0   117 b =              23 b 0              79 b 0     2 b =             157 b 0    42 b 0    60 b =  
001   98      Daly, Richard                     1010             298             0.0                                                                              133 b 0                                
001   99      Dennehy, Tony                     1923             324             2.5         90 b 0   119 w 0   135 b =    15 b 0    50 w =    81 b 0     8 b 0   121 b =   149 b 0    30 w 1    68 b 0  
001  100      Fox, Anthony                      2057             456             5.0         88 w =   113 b 0   134 w 0    24 b =    49 w 0    78 w =    13 b =   122 w 1   158 b =    43 w =    58 b 1  
001  101      Hearns, Liam T.                   1877             573             4.5         91 b =   115 b =   143 w 0    17 w =    57 b 0    83 w =     1 w =   120 w =   148 w 1    46 b 0    67 w =  
001  102      Jackson, Peter D.                 1785            2122             5.0         86 w =                        25 w =    47 w 0    73 w 1     6 w =   126 b =   155 w =    32 w 1    72 w =  
001  103      Johnson, G. Christopher           1548            2372             4.5                  114 w 0   146 b =    18 w =    51 b 0    80 w =    10 w =   132 b 1   151 w 1    29 b 0    69 w =  
001  104      Kitterick, Tony                      0           12668             0.0                            139 b 0                                                                                  
001  105      Lane, John                        1914             764             2.0         95 w 0   116 b =   144 b 0    14 w 0    53 b 1    75 b 0     9 w =             156 w 0    39 w 0    62 w 0  
